,time_since_ri,wind_speed
168,1 days 00:00:00,
169,1 days 12:00:00,9.44545841217041
170,-1 days +12:00:00,9.924177169799805
171,0 days 00:00:00,10.739412307739258
172,0 days 06:00:00,
173,0 days 12:00:00,
174,1 days 00:00:00,9.44545841217041
175,1 days 06:00:00,9.343734741210938
176,1 days 12:00:00,
177,-1 days +03:00:00,13.459441184997559
178,-1 days +15:00:00,
179,0 days 03:00:00,13.894462585449219
180,0 days 09:00:00,7.174966812133789
181,0 days 15:00:00,
182,1 days 03:00:00,20.54559326171875
183,1 days 09:00:00,24.062992095947266
184,1 days 15:00:00,24.182558059692383
185,-1 days +00:00:00,13.459441184997559
186,-1 days +12:00:00,
187,0 days 00:00:00,13.894462585449219
188,0 days 06:00:00,7.174966812133789
189,0 days 12:00:00,
190,1 days 00:00:00,20.54559326171875
191,1 days 06:00:00,24.062992095947266
192,1 days 12:00:00,24.182558059692383
193,-1 days +09:00:00,
194,-1 days +21:00:00,13.894462585449219
195,0 days 03:00:00,7.174966812133789
196,0 days 09:00:00,
197,0 days 21:00:00,20.54559326171875
198,1 days 03:00:00,24.062992095947266
199,1 days 09:00:00,24.182558059692383
200,1 days 21:00:00,28.615081787109375
201,-1 days +06:00:00,
202,-1 days +18:00:00,13.894462585449219
203,0 days 00:00:00,7.174966812133789
204,0 days 06:00:00,
205,0 days 18:00:00,20.54559326171875
206,1 days 00:00:00,24.062992095947266
207,1 days 06:00:00,24.182558059692383
208,1 days 18:00:00,28.615081787109375
209,-1 days +15:00:00,13.894462585449219
210,-1 days +21:00:00,7.174966812133789
211,0 days 03:00:00,
212,0 days 15:00:00,20.54559326171875
213,0 days 21:00:00,24.062992095947266
214,1 days 03:00:00,24.182558059692383
215,1 days 15:00:00,28.615081787109375
216,-1 days +12:00:00,
217,0 days 00:00:00,15.004616737365723
218,0 days 12:00:00,
219,0 days 18:00:00,9.13517951965332
220,1 days 00:00:00,17.913251876831055
221,1 days 12:00:00,17.205917358398438
222,1 days 18:00:00,16.965425491333008
223,-1 days +06:00:00,15.004616737365723
